week_start,brand,region,search_index,sov_pct,search_wow_pct,search_mom_pct,search_yoy_pct,season_label,season_week_num
2023-07-02,puma,korea,9.0,7.1429,0.0,12.5,,SS23,17
2023-07-02,new_balance,global,11.0,9.4828,175.0,175.0,,SS23,17
2023-07-02,new_balance,korea,13.0,10.3175,-7.1429,-18.75,,SS23,17
2023-07-09,nike,global,68.0,54.8387,15.2542,195.6522,,SS23,18
2023-07-09,nike,korea,73.0,58.871,2.8169,-6.4103,,SS23,18
2023-07-09,adidas,global,31.0,25.0,-13.8889,-13.8889,,SS23,18
2023-07-09,adidas,korea,32.0,25.8065,-3.0303,-11.1111,,SS23,18
2023-07-09,puma,global,11.0,8.871,10.0,83.3333,,SS23,18
2023-07-09,puma,korea,7.0,5.6452,-22.2222,-22.2222,,SS23,18
2023-07-09,new_balance,global,14.0,11.2903,27.2727,250.0,,SS23,18
2023-07-09,new_balance,korea,12.0,9.6774,-7.6923,-7.6923,,SS23,18
2023-07-16,nike,global,70.0,56.4516,2.9412,204.3478,,SS23,19
2023-07-16,nike,korea,73.0,57.0313,0.0,-2.6667,,SS23,19
2023-07-16,adidas,global,29.0,23.3871,-6.4516,-14.7059,,SS23,19
2023-07-16,adidas,korea,33.0,25.7813,3.125,-8.3333,,SS23,19
2023-07-16,puma,global,11.0,8.871,0.0,83.3333,,SS23,19
2023-07-16,puma,korea,10.0,7.8125,42.8571,11.1111,,SS23,19
2023-07-16,new_balance,global,14.0,11.2903,0.0,250.0,,SS23,19
2023-07-16,new_balance,korea,12.0,9.375,0.0,-7.6923,,SS23,19
2023-07-23,nike,global,70.0,54.6875,0.0,191.6667,,SS23,20
2023-07-23,nike,korea,74.0,56.9231,1.3699,1.3699,,SS23,20
2023-07-23,adidas,global,31.0,24.2188,6.8966,-16.2162,,SS23,20
2023-07-23,adidas,korea,35.0,26.9231,6.0606,-2.7778,,SS23,20
2023-07-23,puma,global,12.0,9.375,9.0909,100.0,,SS23,20
2023-07-23,puma,korea,9.0,6.9231,-10.0,0.0,,SS23,20
2023-07-23,new_balance,global,15.0,11.7188,7.1429,275.0,,SS23,20
2023-07-23,new_balance,korea,12.0,9.2308,0.0,-14.2857,,SS23,20
2023-07-30,nike,global,75.0,54.7445,7.1429,27.1186,,SS23,21
2023-07-30,nike,korea,70.0,57.377,-5.4054,-1.4085,,SS23,21
2023-07-30,adidas,global,34.0,24.8175,9.6774,-5.5556,,SS23,21
2023-07-30,adidas,korea,31.0,25.4098,-11.4286,-6.0606,,SS23,21
2023-07-30,puma,global,12.0,8.7591,0.0,20.0,,SS23,21
2023-07-30,puma,korea,9.0,7.377,0.0,0.0,,SS23,21
2023-07-30,new_balance,global,16.0,11.6788,6.6667,45.4545,,SS23,21
2023-07-30,new_balance,korea,12.0,9.8361,0.0,-7.6923,,SS23,21
2023-08-06,nike,global,76.0,54.2857,1.3333,11.7647,,SS23,22
2023-08-06,nike,korea,68.0,57.6271,-2.8571,-6.8493,,SS23,22
2023-08-06,adidas,global,35.0,25.0,2.9412,12.9032,,SS23,22
2023-08-06,adidas,korea,31.0,26.2712,0.0,-3.125,,SS23,22
2023-08-06,puma,global,12.0,8.5714,0.0,9.0909,,SS23,22
2023-08-06,puma,korea,8.0,6.7797,-11.1111,14.2857,,SS23,22
2023-08-06,new_balance,global,17.0,12.1429,6.25,21.4286,,SS23,22
2023-08-06,new_balance,korea,11.0,9.322,-8.3333,-8.3333,,SS23,22
